Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP
1997 Florago                            ,Renteria, Edgar               ,30,6,11,10,1,0,2,2,2,0,0,0,1,0,2,10,2,1,0,0,0,0,1,0,0,0,0,33.6  ,35.4  ,39.6  ,0.367,0.600,0.406,8,0
1997 Florago                            ,Sandberg, Ryne                ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,3,1,0,0,0,2,0,0,0,0,0,29    ,38.8  ,28.5  ,0.000,0.000,0.000,0,0
1997 Florago                            ,Floyd, Cliff                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,3,0,0,0,3,0,0,0,3,4,3,39.05 ,42    ,39.2  ,0.000,0.000,0.000,0,0
1997 Florago                            ,Johnson, Charles              ,15,2,2,1,0,0,1,0,5,0,0,0,0,2,6,3,3,1,0,1,0,0,0,0,0,0,0,36.5  ,42.7  ,38.55 ,0.133,0.333,0.133,4,0
1997 Florago                            ,Arias, Alex                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,2,1,0,0,0,0,3,2,0,0,0,36.2  ,46.6  ,39.4  ,0.000,0.000,0.000,0,0
1997 Florago                            ,Bonilla, Bobby                ,21,6,9,4,3,0,2,6,5,0,0,0,2,3,4,7,1,2,0,0,4,0,0,4,0,0,0,43.6  ,50.2  ,43    ,0.429,0.857,0.556,5,0
1997 Florago                            ,Grace, Mark                   ,32,10,14,7,0,1,1,7,5,0,0,0,0,2,5,6,1,0,0,0,1,0,0,0,0,0,0,52.75 ,52.65 ,51.75 ,0.438,0.594,0.538,8,0
1997 Florago                            ,Zaun, Gregg                   ,37,7,12,7,2,0,2,5,5,2,0,0,0,3,6,6,2,2,0,3,5,0,0,0,0,0,0,49.2  ,53.3  ,49.4  ,0.324,0.541,0.432,8,0
1997 Florago                            ,Alou, Moises                  ,34,3,7,2,1,0,0,3,6,0,0,0,0,3,4,8,2,1,0,0,0,0,0,0,2,3,2,42.4  ,56.6  ,42.25 ,0.206,0.235,0.270,8,0
1997 Florago                            ,Sheffield, Gary               ,23,2,4,3,2,1,1,6,3,0,0,0,0,3,3,8,2,1,0,0,0,0,0,0,0,0,0,50.4  ,72.4  ,52.75 ,0.174,0.478,0.345,7,0
